Hotel Name,Overall_Rating,Review_Title,Review_Date,Verified,Review_Text,Room Type,Type Of Guest,Recommended
President Hotel,4,"Too bad about the furnishings of the rooms","17th April 2025",True,"Hotel located in the modern part of the city but not far from the historic center. Well-designed, well-kept and comfortable common areas. Staff super helpful, attentive, smiling and polite. Great breakfast, rich in quantity and variety of food. Cozy spa, nice indoor pool area. Bar on the 40th floor well stocked, offers a beautiful view of the city and offers excellent cocktails. The only flaw, in my opinion, is the furniture in the rooms, a bit dated and ruined. Great bathroom sponges, bed comfortable enough",Standard Double,Solo Leisure,yes
President Hotel,3,"My expectation compared to previous times was not met","17th April 2025",True,"The hotel has come of age ,even if no serious technical defects were detectable. The breakfast buffet in the former Marriott was in a class of its own. Not with comparable to today's quality. The spa area is exemplary and varied. Services top. Top location, and a beautiful panorama towards the Palace of Culture.",Deluxe Room,Couple Leisure,no
President Hotel,2,"They did not solve noises problems during the night","7th March 2025",True,"The room is wonderful but we had a bad experience. The guy at the room next to ours hired a hooker and she was shouting like crazy in the middle of the night. We called downstairs a couple of times but they did not solve the problem. Very bad attention.",Standard Twin,Family Leisure,no
President Hotel,1,"A NIGHTMARE OF A HOTEL!","5th March 2025",True,"This hotel is an absolute disaster! I had booked a specific room, yet they gave me a disabled-access room without my consent and told me there were no other options available. This is completely unacceptable! As if that wasn’t enough, they didn’t take a deposit at check-in, but once I got to my room, they called me and basically threatened me, saying, 'If you don’t pay the deposit, we will lock your minibar.' Is this how they treat their guests? Absolutely disgraceful! And the worst part? At 6:45 AM, they were vacuuming loudly right outside my door! How is anyone supposed to get a good night’s sleep in such a chaotic environment? This place lacks professionalism, customer service, and basic hospitality. I would never recommend this hotel to anyone! Stay away!",Accessible Room,Solo Leisure,no
President Hotel,5,"Excellent hotel","7th January 2025",True,"Excellent hotel great location near to everything nice room indoor pool gym very good breakfast & on 2nd floor very good restaurant. The hotel is very clean good staff everyone was nice helping & professional. I recommend it highly. Also very good price for this  5 stars hotel in city center",Executive Suite,Family Leisure,yes
President Hotel,5,"A lovely hotel to stay in.","8th June 2024",True,"Hotel in a great location, luxurious and friendly service, we are on the 33th floor, amazing view, comfortable bed, strong and good bath flow. The breakfast is rich and delicious. The casino is not very large, there are machines and also tables, gambling at the lottery. Better download the Hoover app and navigate with it. We will definitely return to this hotel.",Panorama Room,Couple Leisure,yes
President Hotel,4,"Great hotel!","22nd October 2024",True,"Lovely hotel with great views. Good beds and lovely shower! Centrally located and fully equipped... everything within walking distance and all public transport very close! Clean towels and good cleaning of the rooms every day. Minibar is well equipped and is replenished every day.",Standard Double,Solo Leisure,yes
President Hotel,2,"Bad","11th November 2024",False,"The hotel tends to hold on thr security deposit for 3 weeks or more and keep making excuses. I stayed at this hotel from 24.01 - 26.01 but 3 weeks later I have still not received my deposit. They have even stopped responding to my emails now - terrible l!",Standard Room,Business,no
President Hotel,5,"Perfect experience","9th January 2024",True,"Absolutely lovely hotel and dining experience.. the door staff welcomed us and later in the day they found us a taxi in very quick time .. the food was amazing, and the bar on the 40th floor was beautiful 😍.. great views and perfect service 👌.. It's definitely a must visit again ..",Deluxe Room,Couple Leisure,yes
President Hotel,5,"great location and coddling hotel","25th September 2023",True,"Beautiful and coddling hotel super comfortable from reception, dining and service all were amazing. Great location - highly recommended. Me and my friends celebrated late birthdays, we were upgraded and had a cake and card waiting at the room upon our arrival.",Executive Suite,Group Leisure,yes
